Item Number,Inventory Receive,Total Item Qty
064-13-0002,7/7/2023,700
064-13-0338,7/7/2023,1700
064-13-0340,7/7/2023,1000
064-13-0353,7/7/2023,1900
064-13-0416,7/7/2023,1000
064-13-0010,7/9/2023,3140
064-15-5738,7/9/2023,5976
064-15-5777,7/9/2023,4428
064-15-6305,7/9/2023,7352
064-15-7068,7/9/2023,9064
064-15-7174,7/9/2023,6276
064-18-2305,7/21/2023,1134
064-18-2358,7/21/2023,1620
064-18-0267,7/21/2023,1302
064-18-2854,7/21/2023,1404
064-18-3729,7/21/2023,2754
064-18-0493,7/21/2023,1600
064-18-0494,7/21/2023,1600
064-18-6538,7/21/2023,888
064-18-6539,7/21/2023,834
064-18-9089,7/21/2023,1600
064-18-9724,7/21/2023,1600
064-13-0402,8/16/2023,500
064-13-0403,8/16/2023,248
064-13-0425,8/16/2023,300
064-13-4782,8/16/2023,700
064-18-2305,8/16/2023,408
064-18-2320,8/16/2023,1824
064-18-2852,8/16/2023,1788
064-18-2853,8/16/2023,1752
064-18-3316,8/16/2023,500
064-18-3712,8/16/2023,2598
064-18-3723,8/16/2023,618
064-18-3729,8/16/2023,36
064-18-0493,8/16/2023,1176
064-18-0494,8/16/2023,792
064-18-5659,8/16/2023,2548
064-18-5660,8/16/2023,2208
064-18-6539,8/16/2023,2232
064-18-7128,8/16/2023,3248
064-18-8362,8/16/2023,852
064-18-9089,8/16/2023,1824
064-18-9182,8/16/2023,4228
064-18-9938,8/16/2023,2084
064-18-2305,10/13/2023,2430
064-18-2320,10/13/2023,786
064-18-2358,10/13/2023,2238
064-18-0267,10/13/2023,1920
064-18-2852,10/13/2023,1464
064-18-2853,10/13/2023,150
064-18-2854,10/13/2023,2250
064-18-3017,10/13/2023,2382
064-18-3316,10/13/2023,1380
064-18-3665,10/13/2023,2310
064-18-3712,10/13/2023,2166
064-18-3723,10/13/2023,498
064-18-3729,10/13/2023,1200
064-18-4153,10/13/2023,3402
064-18-0493,10/13/2023,1268
064-18-0494,10/13/2023,3344
064-18-5658,10/13/2023,248
064-18-5659,10/13/2023,2016
064-18-5660,10/13/2023,2588
064-18-6538,10/13/2023,1920
064-18-6539,10/13/2023,2214
064-18-6578,10/13/2023,3498
064-18-7128,10/13/2023,3352
064-18-8362,10/13/2023,1308
064-18-9089,10/13/2023,484
064-18-9182,10/13/2023,2416
064-18-9667,10/13/2023,992
064-18-9724,10/13/2023,200
064-18-9938,10/13/2023,1976
064-09-1062,7/10/2023,740
064-09-2179,7/10/2023,612
064-09-0250,7/10/2023,700
064-09-3413,7/10/2023,628
064-09-3600,7/10/2023,524
064-09-3654,7/10/2023,1000
064-09-3787,7/10/2023,1500
